2026-01-18 02:59:15 | Student: u696949b014b8f | Email: k@gmail.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) khaoula,  Vous avez été marqué(e) absent(e)...
2026-01-18 03:02:25 | Student: u696948952a26d | Email: a@gamil.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) amahd ,  Vous avez été marqué(e) absent(e) ...
2026-01-18 03:08:00 | Student: u696948952a26d | Email: a@gamil.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) amahd ,  Vous avez été marqué(e) absent(e) ...
2026-01-18 03:40:32 | Student: u696948952a26d | Email: a@gamil.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) amahd ,  Vous avez été marqué(e) absent(e) ...
2026-01-18 05:03:01 | Student: u6966b070025a5 | Email: isra@gmail.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) isra,  Vous avez été marqué(e) absent(e) po...
2026-01-18 05:06:47 | Student: u6966b38eda23a | Email: ff@gamil.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) ff,  Vous avez été marqué(e) absent(e) pour...
2026-01-18 05:14:09 | Student: u696948952a26d | Email: a@gamil.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) amahd ,  Vous avez été marqué(e) absent(e) ...
2026-01-18 05:25:55 | Student: u6966b38eda23a | Email: ff@gamil.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) ff,  Vous avez été marqué(e) absent(e) pour...
2026-01-18 08:45:22 | Student: u696948952a26d | Email: a@gamil.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) amahd ,  Vous avez été marqué(e) absent(e) ...
2026-01-18 10:16:54 | Student: u696948952a26d | Email: a@gamil.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) amahd ,  Vous avez été marqué(e) absent(e) ...
2026-01-18 12:24:24 | Student: u6966b070025a5 | Email: isra@gmail.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) isra,  Vous avez été marqué(e) absent(e) po...
2026-01-18 15:05:02 | Student: u696cafe80ae77 | Email: salmachablaoui6@gmail.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) salma chablaoui,  Vous avez été marqué(e) a...
2026-01-18 17:42:16 | Student: u6966b38eda23a | Email: ff@gamil.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) ff,  Vous avez été marqué(e) absent(e) pour...
2026-01-18 17:59:53 | Student: u696d11301fc14 | Email: salmachablaoui6@gmail.com | Email envoyé: OUI | Message: Notification d'absence =====================  Cher(e) salma chablaoui,  Vous avez été marqué(e) a...
